,No.,Player,PronounsMere Info  PronounsInterested in learning more about pronouns? Click here.,Position,Year,Height,Points,Assists,Ds,Turns,team_name,level,gender,division
22,95,Kate Campbell,S,,,,,,2.0,,Victoria,Division 1,Women,Division 1 Women
23,99,Jaime Ovstaas,,,,,2.0,1.0,1.0,3.0,Victoria,Division 1,Women,Division 1 Women
0,0,Yi (Jenna) Li,,,,,4.0,9.0,5.0,43.0,Cornell,Division 1,Women,Division 1 Women
1,3,Zoe Bishop,,Cutter,College (JR),"5'3""",7.0,4.0,2.0,13.0,Cornell,Division 1,Women,Division 1 Women
2,4,Mary Connerton,,,College (JR),"5'8""",2.0,,5.0,5.0,Cornell,Division 1,Women,Division 1 Women
3,6,Viveka Plassmann,,Cutter,,,1.0,1.0,2.0,4.0,Cornell,Division 1,Women,Division 1 Women
4,8,Elena Caplinger,,,,,,,,3.0,Cornell,Division 1,Women,Division 1 Women
5,9,Lili Sprague,,,,,,,2.0,1.0,Cornell,Division 1,Women,Division 1 Women
6,11,Olivia Tarmina,,,,,2.0,,3.0,2.0,Cornell,Division 1,Women,Division 1 Women
7,12,Rachel Landa,,,,,,,,,Cornell,Division 1,Women,Division 1 Women
8,13,Claudia Miner,S,,,"5'5""",6.0,2.0,3.0,18.0,Cornell,Division 1,Women,Division 1 Women
9,16,Eve Lesburg,,,College (SR),"5'8""",2.0,7.0,,12.0,Cornell,Division 1,Women,Division 1 Women
10,18,Parker McLaughlin,,Cutter,,,,,,5.0,Cornell,Division 1,Women,Division 1 Women
11,23,Annabella Wardle,,,,,,2.0,3.0,3.0,Cornell,Division 1,Women,Division 1 Women
12,26,Amanda Barnkow,,,,,,,1.0,1.0,Cornell,Division 1,Women,Division 1 Women
13,27,Emily Kulp,S,,,,,,1.0,3.0,Cornell,Division 1,Women,Division 1 Women
14,32,Liya Mei,,,,,1.0,4.0,6.0,24.0,Cornell,Division 1,Women,Division 1 Women
15,33,Maeve Seto,,,,,1.0,,1.0,1.0,Cornell,Division 1,Women,Division 1 Women
16,36,Lauren Brennan,S,,,,,,,,Cornell,Division 1,Women,Division 1 Women
17,37,Sarah Eagen,,,,,,,1.0,,Cornell,Division 1,Women,Division 1 Women
18,48,Hayley Lorenz,S,Cutter,,,,,2.0,1.0,Cornell,Division 1,Women,Division 1 Women
19,77,Sophia Reed,,,,"5'8""",4.0,1.0,,3.0,Cornell,Division 1,Women,Division 1 Women
0,0,John Peterson,,Defense (Cutter/Handler),College (SR),"5'10""",,1.0,1.0,,Davenport,Division 3,Men,Division 3 Men
1,1,Jacob Felton,,Dump,College (FR),"6'1""",5.0,29.0,2.0,12.0,Davenport,Division 3,Men,Division 3 Men
2,2,Juraj Hurny,,,,,7.0,,3.0,1.0,Davenport,Division 3,Men,Division 3 Men
3,3,Jahiem Upchurch,,,,,1.0,,,,Davenport,Division 3,Men,Division 3 Men
4,5,Connor Concannon,H,,,,1.0,4.0,5.0,1.0,Davenport,Division 3,Men,Division 3 Men
5,6,Kale Peterson,,Dump,Elementary School (K),,6.0,3.0,2.0,3.0,Davenport,Division 3,Men,Division 3 Men
6,7,Kai Creed,,,College (FR),"6'3""",3.0,6.0,3.0,5.0,Davenport,Division 3,Men,Division 3 Men
7,8,Jonathan Newman,,,,,4.0,2.0,1.0,3.0,Davenport,Division 3,Men,Division 3 Men
8,9,Collin Colegate,,,,,,,,,Davenport,Division 3,Men,Division 3 Men
9,10,James Pekel,,,,,2.0,,,,Davenport,Division 3,Men,Division 3 Men
10,12,Rowan Jamieson,,,College (JR),"6'0""",16.0,3.0,3.0,6.0,Davenport,Division 3,Men,Division 3 Men
11,13,Connor Lodholtz,,,,,,,,1.0,Davenport,Division 3,Men,Division 3 Men
12,14,Richard Dragicevich,,,,,,,1.0,1.0,Davenport,Division 3,Men,Division 3 Men
13,16,Ian Neal,,,,,,,,,Davenport,Division 3,Men,Division 3 Men
14,18,Aidan Williams,,,,,4.0,1.0,,2.0,Davenport,Division 3,Men,Division 3 Men
15,20,Alex Ballentine,,,,,3.0,3.0,,1.0,Davenport,Division 3,Men,Division 3 Men
16,22,Miguel Suarez,,,,,,,,,Davenport,Division 3,Men,Division 3 Men
17,23,Noah Schade,,,,,1.0,2.0,1.0,1.0,Davenport,Division 3,Men,Division 3 Men
18,24,Darren Dyer,,,,,8.0,2.0,4.0,4.0,Davenport,Division 3,Men,Division 3 Men
19,25,Collin Hill,H,Handler/Cutter,College (SR),"5'9""",6.0,3.0,,3.0,Davenport,Division 3,Men,Division 3 Men
20,26,Tyler Shanahan,,,,,,3.0,1.0,4.0,Davenport,Division 3,Men,Division 3 Men
21,27,Amir Sims,,,,,,,,,Davenport,Division 3,Men,Division 3 Men
22,30,Conner Millison,,,College (FR),"6'3""",,,1.0,1.0,Davenport,Division 3,Men,Division 3 Men
23,33,Samuel Rysko,,,,,,2.0,,10.0,Davenport,Division 3,Men,Division 3 Men
24,34,Noah Callewaert,,,,,3.0,2.0,1.0,3.0,Davenport,Division 3,Men,Division 3 Men
25,86,Andrzej Porter,,Dump,College (GR),"6'1""",1.0,3.0,1.0,3.0,Davenport,Division 3,Men,Division 3 Men
0,0,Ilo Holdridge,,Defense (Cutter),College (SO),"6'8""",3.0,,4.0,2.0,Bowdoin,Division 3,Men,Division 3 Men
1,1,Ethan Borland,,Cutter,,,3.0,2.0,1.0,3.0,Bowdoin,Division 3,Men,Division 3 Men
2,2,Henry Anderson,,Cutter,Elementary School (K),"2'4""",,,,,Bowdoin,Division 3,Men,Division 3 Men
3,3,Will Gaston,,Cutter,Elementary School (5th grade),"6'7""",,1.0,1.0,2.0,Bowdoin,Division 3,Men,Division 3 Men
4,4,Theodore Barton,,Handler,College (SO),"6'3""",4.0,14.0,5.0,28.0,Bowdoin,Division 3,Men,Division 3 Men
5,6,Thayer Frankel,,Cutter,,"5'9""",,,,,Bowdoin,Division 3,Men,Division 3 Men
6,7,Axel Hicks,,Defense (Cutter),Elementary School (5th grade),"4'5""",,,,,Bowdoin,Division 3,Men,Division 3 Men
7,8,Anders Larson,,Cutter,,,6.0,2.0,2.0,7.0,Bowdoin,Division 3,Men,Division 3 Men
8,9,Benjamin Israel,,Defense (Cutter),Elementary School (K),,4.0,3.0,3.0,1.0,Bowdoin,Division 3,Men,Division 3 Men
9,10,Josh White,,Defense (Cutter),Elementary School (3rd grade),"4'10""",2.0,,3.0,4.0,Bowdoin,Division 3,Men,Division 3 Men
10,11,Eric Traub,H,Defense (Cutter),,,1.0,,,1.0,Bowdoin,Division 3,Men,Division 3 Men
11,12,Dudley Holdridge,,Defense (Cutter/Handler),,,3.0,2.0,1.0,1.0,Bowdoin,Division 3,Men,Division 3 Men
12,13,Stone Zhou,H,Defense (Cutter),College (FR),"5'10""",,,,,Bowdoin,Division 3,Men,Division 3 Men
13,14,Sam Ralston,,Defense (Cutter/Handler),,,1.0,4.0,1.0,8.0,Bowdoin,Division 3,Men,Division 3 Men
14,16,Spencer Sussman,,Cutter,,,3.0,5.0,,2.0,Bowdoin,Division 3,Men,Division 3 Men
15,17,Alexander Kelly,,Cutter,High School (9th Grade),"5'8""",,,2.0,,Bowdoin,Division 3,Men,Division 3 Men
16,19,Jamie Roan,,Handler,,,,,,,Bowdoin,Division 3,Men,Division 3 Men
17,20,Zachary Widmyer,,Handler,College (GR),"10'11""",3.0,23.0,1.0,20.0,Bowdoin,Division 3,Men,Division 3 Men
18,21,Cole Fairfield,H,Cutter,,,29.0,3.0,2.0,3.0,Bowdoin,Division 3,Men,Division 3 Men
19,22,Benjamin Turnbull,,Defense (Cutter),,,,,,,Bowdoin,Division 3,Men,Division 3 Men
20,23,Michael Martinez,,Defense (Cutter),,,,,,1.0,Bowdoin,Division 3,Men,Division 3 Men
21,24,Miles Berry,,Defense (Cutter),Elementary School (2nd grade),"2'4""",5.0,3.0,4.0,4.0,Bowdoin,Division 3,Men,Division 3 Men
22,26,Khalil Wilkinson,H,Defense (Cutter),College (GR),"6'9""",1.0,,2.0,1.0,Bowdoin,Division 3,Men,Division 3 Men
23,30,Dane Crandall,,Defense (Cutter),,,1.0,,,,Bowdoin,Division 3,Men,Division 3 Men
24,45,Henry Doerr,,Defense (Cutter),,,,,,,Bowdoin,Division 3,Men,Division 3 Men
25,49,Ari Faulkner,,Defense (Cutter),,,,,,,Bowdoin,Division 3,Men,Division 3 Men
26,66,Felipe Perez,,Defense (Cutter),,,,,,,Bowdoin,Division 3,Men,Division 3 Men
27,88,Benjamin Halperin,H,Handler,,,5.0,12.0,1.0,8.0,Bowdoin,Division 3,Men,Division 3 Men
0,2,Thomas Clayton,,,,,3.0,1.0,2.0,4.0,Missouri S&T,Division 3,Men,Division 3 Men
1,3,Wesley Fransen,,Mid,Elementary School (1st grade),"5'10""",14.0,4.0,3.0,8.0,Missouri S&T,Division 3,Men,Division 3 Men
2,4,Kevin Wyle,,,,,,,,2.0,Missouri S&T,Division 3,Men,Division 3 Men
3,5,Sean Sharp,,,,,1.0,,2.0,3.0,Missouri S&T,Division 3,Men,Division 3 Men
4,7,Owen Thoms,,,,,,3.0,3.0,12.0,Missouri S&T,Division 3,Men,Division 3 Men
5,9,Andrew Clayton,,,,,9.0,2.0,3.0,6.0,Missouri S&T,Division 3,Men,Division 3 Men
6,10,Carson Kempf,,,,,3.0,,,6.0,Missouri S&T,Division 3,Men,Division 3 Men
7,12,James Landon,,,,,,,1.0,2.0,Missouri S&T,Division 3,Men,Division 3 Men
8,14,Michael Preisack,H,,,,3.0,4.0,1.0,7.0,Missouri S&T,Division 3,Men,Division 3 Men
9,15,Mason Schiefer,,Handler,Elementary School (4th grade),"5'3""",,,,2.0,Missouri S&T,Division 3,Men,Division 3 Men
10,16,Sam Papin,,,,,5.0,18.0,4.0,19.0,Missouri S&T,Division 3,Men,Division 3 Men
11,18,Mitchell Gordon,,,,,,,1.0,5.0,Missouri S&T,Division 3,Men,Division 3 Men
12,22,Aidan Byrne,,,,,10.0,1.0,1.0,2.0,Missouri S&T,Division 3,Men,Division 3 Men
13,25,Aiden Meinkoth,,,,,,,,1.0,Missouri S&T,Division 3,Men,Division 3 Men
14,27,Brandyss Sherman-Hall,,,College (SO),"6'2""",6.0,6.0,8.0,9.0,Missouri S&T,Division 3,Men,Division 3 Men
15,28,Zachary Sanders,,,,,1.0,22.0,4.0,33.0,Missouri S&T,Division 3,Men,Division 3 Men
16,40,Clifton Ruh,,,,,,,,2.0,Missouri S&T,Division 3,Men,Division 3 Men
17,44,Evan DeJournett,,,College (FR),"6'3""",1.0,,,1.0,Missouri S&T,Division 3,Men,Division 3 Men
18,54,Theodore Guidry,,,,,2.0,,1.0,2.0,Missouri S&T,Division 3,Men,Division 3 Men
19,64,Kenneth Stanley,,,,,,,1.0,,Missouri S&T,Division 3,Men,Division 3 Men
20,77,Griffen Anderson,,,,,2.0,,1.0,,Missouri S&T,Division 3,Men,Division 3 Men
21,79,Joseph Hubenschmidt,,,Elementary School (K),"10'11""",1.0,,,4.0,Missouri S&T,Division 3,Men,Division 3 Men
0,1,Justin Wallace,,Cutter,,,10.0,11.0,8.0,26.0,Franciscan,Division 3,Men,Division 3 Men
1,2,Peter Free,,Defense (Cutter/Handler),College (SO),"5'11""",8.0,1.0,,4.0,Franciscan,Division 3,Men,Division 3 Men
2,3,Patrick Fontenot,,,,,8.0,1.0,2.0,,Franciscan,Division 3,Men,Division 3 Men
3,4,Andrew Carmody,,,,,4.0,8.0,4.0,15.0,Franciscan,Division 3,Men,Division 3 Men
4,6,Augustine Schmiesing,,,,,1.0,2.0,1.0,2.0,Franciscan,Division 3,Men,Division 3 Men
5,9,Sam Derendorf,,,,,1.0,1.0,1.0,2.0,Franciscan,Division 3,Men,Division 3 Men
6,10,James Collins,,,,,,,,,Franciscan,Division 3,Men,Division 3 Men
7,13,John Cordier,,Handler,,"6'1""",,1.0,1.0,5.0,Franciscan,Division 3,Men,Division 3 Men
8,14,Joseph Duerr,,Defense (Cutter),College (JR),"6'1""",2.0,1.0,6.0,1.0,Franciscan,Division 3,Men,Division 3 Men
9,15,Nick Canavan,,Cutter,,,,,,,Franciscan,Division 3,Men,Division 3 Men
10,17,Taylor Lange,,Handler/Cutter,College (FR),"5'10""",6.0,6.0,1.0,3.0,Franciscan,Division 3,Men,Division 3 Men
11,21,Anthony Lynch,,Cutter,,,,1.0,1.0,3.0,Franciscan,Division 3,Men,Division 3 Men
12,27,Brendan Vander Woude,,,,,4.0,2.0,4.0,4.0,Franciscan,Division 3,Men,Division 3 Men
13,35,Jacob Mayers,,Cutter,,,1.0,1.0,2.0,4.0,Franciscan,Division 3,Men,Division 3 Men
14,40,Joe Redmond,,Handler,College (SR),"6'4""",1.0,3.0,4.0,17.0,Franciscan,Division 3,Men,Division 3 Men
15,44,Nathaniel Scott-Avery,,Defense (Cutter),College (SO),"5'10""",4.0,,,1.0,Franciscan,Division 3,Men,Division 3 Men
16,51,Matthew Gregor,,Defense (Cutter),College (JR),"5'7""",5.0,,3.0,1.0,Franciscan,Division 3,Men,Division 3 Men
17,58,David Stamp,,Cutter,,,,,,,Franciscan,Division 3,Men,Division 3 Men
18,63,Jude Schmiesing,,Defense (Cutter),College (FR),"5'10""",3.0,25.0,3.0,28.0,Franciscan,Division 3,Men,Division 3 Men
19,98,Luke Updike,,,,,7.0,,2.0,3.0,Franciscan,Division 3,Men,Division 3 Men
0,1,Collin Pearson,H,,Middle School (6th Grade),"4'2""",2.0,1.0,2.0,1.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
1,2,Miles Collins,H,,,,,1.0,1.0,2.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
2,3,Tomomi Perry,,,,,1.0,1.0,4.0,4.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
3,4,Nicholas McGlashan,,Mid,Elementary School (2nd grade),"9'4""",3.0,1.0,,3.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
4,5,Dashiell Brenner,,Defense (Cutter/Handler),,,10.0,7.0,1.0,4.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
5,6,Jonah Barer,H,,,"4'9""",10.0,1.0,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
6,7,James Texter,H/T,,Elementary School (K),"3'11""",,,1.0,1.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
7,8,Andrew Yeh,,Handler,College (FR),"6'0""",3.0,6.0,1.0,6.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
8,9,Max Resnik,H,Handler,College (FR),"10'11""",2.0,2.0,2.0,6.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
9,12,Liam Atkins,,,,,1.0,,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
10,13,Julian Kägi,,Dump,,"6'0""",9.0,3.0,1.0,4.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
11,14,William Anderson,H,,High School (10th Grade),"6'6""",1.0,1.0,1.0,3.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
12,17,Graham Gordon,H,Dump,Elementary School (5th grade),"4'6""",1.0,2.0,,1.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
13,18,Benjamin Garcia,,Cutter,High School (12th Grade),"6'1""",3.0,7.0,1.0,13.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
14,19,Jonah Tannen,H,Mid,Middle School (7th Grade),"9'9""",1.0,,1.0,,Carleton College-CHOP,Division 3,Men,Division 3 Men
15,21,Danny Shope,H,,High School (9th Grade),"5'8""",4.0,3.0,2.0,4.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
16,22,Gavyn Jensen-Schneider,H,Defense (Cutter),College (FR),"6'1""",2.0,,5.0,2.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
17,23,Alex Gran,H,Handler,,"6'2""",4.0,7.0,1.0,11.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
18,28,Jesse Barker Plotkin,,Handler,College (JR),"5'8""",,,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
19,30,Adam Ali,,Mid,,,2.0,1.0,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
20,42,Linyi Liu,,Deep,,,1.0,,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
21,43,Nathan Wang,H,Mid,College (JR),"4'3""",4.0,21.0,4.0,4.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
22,68,Cameron Dolbow,H,Cutter,College (JR),"6'0""",1.0,1.0,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
23,69,Koa Klose,H,Defense (Handler),Elementary School (2nd grade),,,,1.0,1.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
24,81,Elk Thomas-Toth,H,,,,,2.0,2.0,9.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
25,85,Henry Nieckarz,,,,,,,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
26,88,Brendan Banfield,,,,,1.0,,,,Carleton College-CHOP,Division 3,Men,Division 3 Men
27,96,Isaiah Irwin,,Handler/Cutter,High School (12th Grade),"5'8""",2.0,,1.0,4.0,Carleton College-CHOP,Division 3,Men,Division 3 Men
0,0,Brayden Morrison,,Handler,,,3.0,14.0,4.0,16.0,Elon,Division 3,Men,Division 3 Men
1,1,Reed Burkert,,,Elementary School (1st grade),,4.0,14.0,7.0,17.0,Elon,Division 3,Men,Division 3 Men
2,2,Camden Perkins,,,,,5.0,3.0,3.0,3.0,Elon,Division 3,Men,Division 3 Men
3,3,Justin Brader-Araje,,,,,9.0,6.0,,11.0,Elon,Division 3,Men,Division 3 Men
4,5,Alex Frame,,Cutter,,,,1.0,1.0,3.0,Elon,Division 3,Men,Division 3 Men
5,6,Jacob Bean,,,,,2.0,,,1.0,Elon,Division 3,Men,Division 3 Men
6,7,Benjamin Patterson,H,,,,8.0,2.0,2.0,7.0,Elon,Division 3,Men,Division 3 Men
7,8,Brady Jackson,,,College (SO),"6'2""",,,3.0,,Elon,Division 3,Men,Division 3 Men
8,11,Myles Sawin,,,,,8.0,5.0,3.0,7.0,Elon,Division 3,Men,Division 3 Men
9,12,Toren Coulter,,Dump,,,,1.0,,2.0,Elon,Division 3,Men,Division 3 Men
10,18,Tyler Strenk,,,,,,,,3.0,Elon,Division 3,Men,Division 3 Men
11,20,Danny Stern,,,College (FR),"5'7""",,,2.0,,Elon,Division 3,Men,Division 3 Men
12,23,Ben Bronstein,,,Elementary School (K),"6'1""",6.0,8.0,7.0,11.0,Elon,Division 3,Men,Division 3 Men
13,24,Kalen Morrison,,Mid,,,3.0,7.0,5.0,21.0,Elon,Division 3,Men,Division 3 Men
14,30,Joseph Sweeney,,,,,,,,,Elon,Division 3,Men,Division 3 Men
15,33,Jacob Lairson,,,,,8.0,6.0,4.0,7.0,Elon,Division 3,Men,Division 3 Men
16,47,Nathaniel Kelly,,,,,2.0,,2.0,,Elon,Division 3,Men,Division 3 Men
17,50,Riley Alkove,,,,,,,1.0,2.0,Elon,Division 3,Men,Division 3 Men
18,62,Aden Balser,,,,,11.0,3.0,,4.0,Elon,Division 3,Men,Division 3 Men
19,69,Benjamin Farmer,,,,,3.0,1.0,5.0,2.0,Elon,Division 3,Men,Division 3 Men
20,99,Oscar Kardon,,Deep,High School (9th Grade),"10'10""",1.0,2.0,1.0,1.0,Elon,Division 3,Men,Division 3 Men
0,0,Rain Xia,H,,,,,,,,Rochester,Division 3,Men,Division 3 Men
1,1,Benjamin Goldstein,,,,,,,,,Rochester,Division 3,Men,Division 3 Men
2,3,Avi Skolnick,,Mid,High School (10th Grade),"5'0""",,,,,Rochester,Division 3,Men,Division 3 Men
3,4,Ian Hill,,,,"4'0""",4.0,,3.0,1.0,Rochester,Division 3,Men,Division 3 Men
4,7,Sumedh Anantha Krishna,,,,,1.0,3.0,1.0,15.0,Rochester,Division 3,Men,Division 3 Men
5,9,Robert Vogt,,,,,2.0,2.0,1.0,8.0,Rochester,Division 3,Men,Division 3 Men
6,15,Teddy Schwartz,,,,,4.0,3.0,,14.0,Rochester,Division 3,Men,Division 3 Men
7,16,Niels Weisbeek,,,College (FR),"5'11""",,,,,Rochester,Division 3,Men,Division 3 Men
8,17,Skylar Abruzese,T,Handler,High School (11th Grade),"5'9""",,,5.0,,Rochester,Division 3,Men,Division 3 Men
9,20,Cameron Lowe,H,,,,18.0,22.0,10.0,27.0,Rochester,Division 3,Men,Division 3 Men
10,22,Joel Escobar Amurrio,,Defense (Cutter/Handler),High School (11th Grade),"6'0""",2.0,1.0,1.0,7.0,Rochester,Division 3,Men,Division 3 Men
11,26,David Leder,,,,,17.0,24.0,2.0,26.0,Rochester,Division 3,Men,Division 3 Men
12,27,Emerson Jenen,,,,,3.0,,1.0,5.0,Rochester,Division 3,Men,Division 3 Men
13,32,Timothy Loftus,H,Cutter,College (FR),"6'1""",9.0,5.0,2.0,10.0,Rochester,Division 3,Men,Division 3 Men
14,33,Miles Frank,,,,,2.0,,1.0,1.0,Rochester,Division 3,Men,Division 3 Men
15,34,Elijah Clymer,,,,,,,,,Rochester,Division 3,Men,Division 3 Men
16,45,Zach Greenwell,,,,,1.0,,,,Rochester,Division 3,Men,Division 3 Men
17,46,Aidan Lieberman,,,,,1.0,3.0,3.0,3.0,Rochester,Division 3,Men,Division 3 Men
18,50,Jack Ringel,,,,,,,,,Rochester,Division 3,Men,Division 3 Men
19,81,Ezra Tock,H,,,,1.0,3.0,4.0,2.0,Rochester,Division 3,Men,Division 3 Men
20,88,Abraham Lovich,H,Dump,Elementary School (3rd grade),"4'2""",1.0,,,,Rochester,Division 3,Men,Division 3 Men
21,91,Seth Rozen,,,,,,,1.0,,Rochester,Division 3,Men,Division 3 Men
0,0,Wyatt Johnson,,Cutter,,,,,,,Berry,Division 3,Men,Division 3 Men
1,1,Elliot Green,,Cutter,,,5.0,2.0,1.0,6.0,Berry,Division 3,Men,Division 3 Men
2,2,Ivan Khoo,,Cutter,Elementary School (K),"2'3""",1.0,2.0,,,Berry,Division 3,Men,Division 3 Men
3,3,David Carroll,,Dump,,,,,,1.0,Berry,Division 3,Men,Division 3 Men
4,5,Ben Noerager,,Cutter,,,1.0,1.0,3.0,5.0,Berry,Division 3,Men,Division 3 Men
5,6,Gavin Zielke,,Handler,College (SR),"6'3""",12.0,8.0,7.0,9.0,Berry,Division 3,Men,Division 3 Men
6,7,Manuel Estevez,H,Handler,,,,1.0,,1.0,Berry,Division 3,Men,Division 3 Men
7,8,Josh Zielke,,Dump,College (FR),"5'11""",,1.0,,,Berry,Division 3,Men,Division 3 Men
8,9,Rory Strickland,,Mid,,,1.0,,,,Berry,Division 3,Men,Division 3 Men
9,10,Mikey Curtis,,Cutter,College (JR),"5'10""",4.0,1.0,1.0,3.0,Berry,Division 3,Men,Division 3 Men
10,11,Tyner Rowley,,Deep,,,2.0,,,4.0,Berry,Division 3,Men,Division 3 Men
11,13,Simon Dowdy,,Cutter,,,8.0,8.0,3.0,14.0,Berry,Division 3,Men,Division 3 Men
12,15,Matthew Peterson,,Cutter,,,9.0,2.0,5.0,11.0,Berry,Division 3,Men,Division 3 Men
13,17,Jackson Knox,,Cutter,,,3.0,1.0,1.0,4.0,Berry,Division 3,Men,Division 3 Men
14,18,Domenic Ciavarro,,Cutter,,,2.0,,3.0,4.0,Berry,Division 3,Men,Division 3 Men
15,19,Caleb Coons,,Deep,,,,,,,Berry,Division 3,Men,Division 3 Men
16,20,Samuel Crow,,Defense (Cutter/Handler),,,,,,,Berry,Division 3,Men,Division 3 Men
17,21,Jonathan Blake,,Cutter,,,,,,,Berry,Division 3,Men,Division 3 Men
18,22,Elijah Hoshide,,Handler,,,4.0,8.0,4.0,8.0,Berry,Division 3,Men,Division 3 Men
19,23,John Drury,H,Cutter,College (SR),,,,,1.0,Berry,Division 3,Men,Division 3 Men
20,24,Silas Camp,,Handler,,,1.0,,,2.0,Berry,Division 3,Men,Division 3 Men
21,26,Elliot Mayo,H,Cutter,,,,,,,Berry,Division 3,Men,Division 3 Men
22,30,Beckett Yelton,,Cutter,,,3.0,,1.0,1.0,Berry,Division 3,Men,Division 3 Men
23,47,Adriel Kershner,,Handler,,,,2.0,5.0,10.0,Berry,Division 3,Men,Division 3 Men
24,51,Ryan Perry,,Cutter,Elementary School (K),"10'11""",,,,,Berry,Division 3,Men,Division 3 Men
25,52,Ian VanOrder,,Handler/Cutter,College (SR),"6'0""",4.0,22.0,10.0,30.0,Berry,Division 3,Men,Division 3 Men
26,70,Adriel Portillo,,Cutter,,,1.0,,2.0,1.0,Berry,Division 3,Men,Division 3 Men
0,0,Max Fleming,,,,,6.0,1.0,2.0,1.0,Whitman,Division 3,Men,Division 3 Men
1,1,Eldon Nichols,,,,,5.0,1.0,1.0,1.0,Whitman,Division 3,Men,Division 3 Men
2,2,Owen Alvord,,,,,2.0,1.0,,2.0,Whitman,Division 3,Men,Division 3 Men
3,3,Sawyer Linehan,,,,,1.0,,1.0,1.0,Whitman,Division 3,Men,Division 3 Men
4,7,Colin Pfister,,,,,4.0,9.0,1.0,4.0,Whitman,Division 3,Men,Division 3 Men
5,9,brodie monohan,,Handler,College (JR),,4.0,6.0,2.0,8.0,Whitman,Division 3,Men,Division 3 Men
6,11,Daniel Sutton,,,,,,,,,Whitman,Division 3,Men,Division 3 Men
7,12,Kainoa Taylor,,,,,6.0,4.0,2.0,5.0,Whitman,Division 3,Men,Division 3 Men
8,13,Soren Severens,,Handler/Cutter,College (SO),"6'0""",,,,,Whitman,Division 3,Men,Division 3 Men
9,14,Larson Selvig,,,,,,,1.0,1.0,Whitman,Division 3,Men,Division 3 Men
10,15,Wade Nichols,,Defense (Handler),College (FR),"6'11""",2.0,4.0,5.0,3.0,Whitman,Division 3,Men,Division 3 Men
11,18,Henry Currie,,,,,3.0,,1.0,2.0,Whitman,Division 3,Men,Division 3 Men
12,20,Hans Frautschi,,,,,1.0,4.0,6.0,8.0,Whitman,Division 3,Men,Division 3 Men
13,21,Lyle Hahn,,,College (FR),"5'6""",2.0,,,1.0,Whitman,Division 3,Men,Division 3 Men
14,22,Nico Darringer,,,,,9.0,13.0,3.0,11.0,Whitman,Division 3,Men,Division 3 Men
15,23,Jay Senstra,,,,,,1.0,,,Whitman,Division 3,Men,Division 3 Men
16,29,Cooper Andersen,,,,,1.0,1.0,,1.0,Whitman,Division 3,Men,Division 3 Men
17,30,Jasper Brown,,,,,,1.0,,2.0,Whitman,Division 3,Men,Division 3 Men
18,31,Ethan Murray,,Cutter,,"10'10""",2.0,5.0,5.0,8.0,Whitman,Division 3,Men,Division 3 Men
19,33,Kai Kirsch,H,,,,10.0,4.0,3.0,3.0,Whitman,Division 3,Men,Division 3 Men
20,34,Liam O’Shea,,,,,1.0,1.0,,2.0,Whitman,Division 3,Men,Division 3 Men
21,35,Elan Siegler,H,,,,,1.0,1.0,2.0,Whitman,Division 3,Men,Division 3 Men
22,39,Jeremiah Harder,H,,College (FR),,,,1.0,5.0,Whitman,Division 3,Men,Division 3 Men
23,62,Leo Dungan-Seaver,,Handler,Middle School (7th Grade),"5'3""",5.0,6.0,,10.0,Whitman,Division 3,Men,Division 3 Men
0,0,Samuel Winkler,H,,,,2.0,,3.0,1.0,Claremont,Division 3,Men,Division 3 Men
1,1,Josh Marx,H,Handler,College (FR),"5'8""",1.0,1.0,,1.0,Claremont,Division 3,Men,Division 3 Men
2,2,Ryan Williams,,,College (SO),"5'11""",5.0,6.0,2.0,12.0,Claremont,Division 3,Men,Division 3 Men
3,3,Arenaria Cramer,H/T,Cutter,,"5'5""",3.0,11.0,1.0,6.0,Claremont,Division 3,Men,Division 3 Men
4,5,Jacques Paradis,H,,,,10.0,6.0,7.0,7.0,Claremont,Division 3,Men,Division 3 Men
5,7,Elias Gradinger,,,,,4.0,2.0,5.0,11.0,Claremont,Division 3,Men,Division 3 Men
